"timestamp";"station_id";"station_name";"station_province";"altitude";"mean_temperature";"min_temperature";"max_temperature";"mean_relative_humidity";"min_relative_humidity";"max_relative_humidity";"precipitation";"mean_wind_direction";"mean_wind_speed";"global_solar_radiation";"geometry";"CodiEscola"
2024-01-30;"WU";"Badalona - Museu";"Barcelona";42;12,8;11.1;14.8;78;65;87;0;NA;NA;9.7;c(2.24757, 41.45215);"2"
2024-01-30;"X1";"Falset";"Tarragona";359;10,9;6.6;14.9;85;58;100;0;NA;NA;5;c(0.81953, 41.15374);"3"
2024-01-30;"YJ";"Lleida - la Femosa";"Lleida";170;8,2;3.3;15.1;85;58;99;0;NA;NA;6.1;c(0.64172, 41.58462);"1"
2024-01-30;"YP";"Palafrugell";"Girona";36;10,2;3.3;15.9;90;61;100;0;NA;NA;8;c(3.16034, 41.90708);"5"
2024-01-31;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;10,4;6.1;16.7;78;53;100;0;NA;NA;11.9;c(2.12379, 41.41864);"4"
2024-01-31;"WU";"Badalona - Museu";"Barcelona";42;11,9;8.7;14.8;74;59;83;0;NA;NA;11.6;c(2.24757, 41.45215);"2"
2024-01-31;"X1";"Falset";"Tarragona";359;8,8;6.2;14.9;87;59;100;0,1;NA;NA;8.6;c(0.81953, 41.15374);"3"
2024-01-31;"YJ";"Lleida - la Femosa";"Lleida";170;5,6;-0.2;13.5;91;64;99;0,1;NA;NA;9.6;c(0.64172, 41.58462);"1"
2024-01-31;"YP";"Palafrugell";"Girona";36;8,9;3;15.3;88;62;100;0;NA;NA;11.2;c(3.16034, 41.90708);"5"
2024-02-01;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;12,5;9.8;18;60;45;71;0;NA;NA;10.7;c(2.12379, 41.41864);"4"
2024-02-01;"WU";"Badalona - Museu";"Barcelona";42;12,8;9.6;18;66;43;76;0;NA;NA;10.7;c(2.24757, 41.45215);"2"
2024-02-01;"X1";"Falset";"Tarragona";359;9,7;4.9;16.2;76;47;99;0;NA;NA;11.3;c(0.81953, 41.15374);"3"
2024-02-01;"YJ";"Lleida - la Femosa";"Lleida";170;3,7;-0.4;7.9;97;88;99;0,2;NA;NA;4.9;c(0.64172, 41.58462);"1"
2024-02-01;"YP";"Palafrugell";"Girona";36;8,6;1.1;17.9;88;50;100;0;NA;NA;8.9;c(3.16034, 41.90708);"5"
2024-02-02;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;11,8;8.9;16.9;65;49;77;0;NA;NA;10.8;c(2.12379, 41.41864);"4"
2024-02-02;"WU";"Badalona - Museu";"Barcelona";42;12,4;9.7;17.7;70;47;84;0;NA;NA;11;c(2.24757, 41.45215);"2"
2024-02-02;"X1";"Falset";"Tarragona";359;9,9;5.6;16.2;79;53;98;0;NA;NA;10.3;c(0.81953, 41.15374);"3"
2024-02-02;"YJ";"Lleida - la Femosa";"Lleida";170;4,9;1;11.2;96;76;99;0,2;NA;NA;6.5;c(0.64172, 41.58462);"1"
2024-02-02;"YP";"Palafrugell";"Girona";36;10,3;1.8;17.9;79;47;100;0;NA;NA;11.4;c(3.16034, 41.90708);"5"
2024-02-03;"D5";"Barcelona - Observatori Fabra";"Barcelona";411;14,1;10.5;20.4;56;43;68;0;NA;NA;11.8;c(2.12379, 41.41864);"4"
2024-02-03;"WU";"Badalona - Museu";"Barcelona";42;13,5;9;19.4;65;47;76;0;NA;NA;11.7;c(2.24757, 41.45215);"2"
2024-02-03;"X1";"Falset";"Tarragona";359;9,3;5.6;14.6;85;61;100;0;NA;NA;10.4;c(0.81953, 41.15374);"3"
2024-02-03;"YJ";"Lleida - la Femosa";"Lleida";170;4,6;3.6;5.8;99;99;99;0,3;NA;NA;2.6;c(0.64172, 41.58462);"1"
2024-02-03;"YP";"Palafrugell";"Girona";36;8,2;0.8;17.5;88;54;100;0,1;NA;NA;11.7;c(3.16034, 41.90708);"5"
